repeat,fold,model,n,auc,within_site_auc,ap,balanced_accuracy,brier
3,1,structural_mlp,106,0.5884057971014492,0.5034602076124568,0.5326080093885387,0.5557971014492753,0.24290777405566671
3,1,structural_tiv_lr,106,0.5978260869565217,0.5415224913494809,0.5053952392695655,0.5373188405797101,0.37914082082154327
3,1,tangent_lr,106,0.6134057971014493,0.5294117647058824,0.5952182319038114,0.6076086956521739,0.2363573222441521
3,1,tangent_mlp,106,0.6144927536231884,0.5432525951557093,0.6129406244434699,0.5702898550724638,0.24216929419670666
3,1,tiv_lr,106,0.5039855072463768,0.5346020761245676,0.41851883387661737,0.5550724637681159,0.24998433933042108
3,2,full_covariates_lr,95,0.7109227871939735,0.6088560885608856,0.5708286826622295,0.6885593220338984,0.22873144098532755
3,2,full_covariates_tiv_lr,95,0.7029190207156308,0.577490774907749,0.5541475275796637,0.6831450094161958,0.23103492599415426
3,2,full_functional_lr,95,0.7109227871939735,0.6088560885608856,0.5708286826622295,0.6885593220338984,0.22873144098532755
3,2,full_functional_mlp,95,0.7109227871939735,0.6088560885608856,0.5708286826622295,0.6885593220338984,0.22873144098532755
3,2,full_functional_tiv_mlp,95,0.705743879472693,0.5885608856088561,0.5550653619267335,0.652306967984934,0.2271808338542473
3,2,full_fusion_lr,95,0.7109227871939735,0.6088560885608856,0.5708286826622295,0.6885593220338984,0.22873144098532755
3,2,full_fusion_mlp,95,0.7109227871939735,0.6088560885608856,0.5708286826622295,0.6885593220338984,0.22873144098532755
3,2,full_fusion_structural_mlp,95,0.7109227871939735,0.6088560885608856,0.5708286826622295,0.6885593220338984,0.22873144098532755
3,2,full_fusion_tiv_mlp,95,0.705743879472693,0.5885608856088561,0.5550653619267335,0.652306967984934,0.2271808338542473
3,2,image_fusion_lr,95,0.5310734463276836,0.53690036900369,0.4404562691789496,0.5442561205273069,0.2860270635881617
3,2,image_fusion_mlp,95,0.5965160075329567,0.540590405904059,0.47713988790449435,0.6184086629001884,0.24795132325680758
3,2,structural_lr,95,0.5310734463276836,0.53690036900369,0.4404562691789496,0.5442561205273069,0.2860270635881617
3,2,structural_mlp,95,0.5597928436911488,0.5701107011070111,0.4734814863589315,0.5720338983050848,0.29863286500467734
3,2,structural_tiv_lr,95,0.53060263653484,0.5332103321033209,0.4404065184203703,0.5442561205273069,0.28603545736075575
3,2,tangent_lr,95,0.594632768361582,0.514760147601476,0.45831906528513694,0.6129943502824858,0.30568211406303386
3,2,tangent_mlp,95,0.5965160075329567,0.540590405904059,0.47713988790449435,0.6184086629001884,0.24795132325680758
3,2,tiv_lr,95,0.4689265536723164,0.45018450184501846,0.3585254156414431,0.464924670433145,0.2519593195527858
3,3,full_covariates_lr,101,0.7380952380952381,0.6555772994129159,0.6755252438070348,0.6700083542188805,0.23420149471421606
3,3,full_covariates_tiv_lr,101,0.7005012531328321,0.5753424657534246,0.6101936628462479,0.6516290726817042,0.218262883279216
3,3,full_functional_lr,101,0.7535505430242272,0.669275929549902,0.6865649777341087,0.6491228070175439,0.22685066612908103
3,3,full_functional_mlp,101,0.7406015037593985,0.6614481409001955,0.6837726224285003,0.6466165413533835,0.22241953364664074
3,3,full_functional_tiv_mlp,101,0.7251461988304094,0.6066536203522505,0.6431184227123871,0.6491228070175439,0.20959631237926307
3,3,full_fusion_lr,101,0.7535505430242272,0.669275929549902,0.6865649777341087,0.6491228070175439,0.22685066612908103
3,3,full_fusion_mlp,101,0.7406015037593985,0.6614481409001955,0.6837726224285003,0.6466165413533835,0.22241953364664074
3,3,full_fusion_structural_mlp,101,0.7406015037593985,0.6614481409001955,0.6837726224285003,0.6466165413533835,0.22241953364664074
3,3,full_fusion_tiv_mlp,101,0.7243107769423559,0.598825831702544,0.619701924831522,0.6359649122807017,0.2127044642356919
3,3,image_fusion_lr,101,0.6988304093567251,0.6262230919765166,0.5729048728820781,0.6649958228905597,0.22025333780778195
3,3,image_fusion_mlp,101,0.691311612364244,0.6046966731898239,0.5376933422752684,0.6702172096908939,0.21847947464693354
3,3,structural_lr,101,0.6073517126148705,0.5205479452054794,0.4225521986131305,0.5833333333333333,0.24241223869553014
3,3,structural_mlp,101,0.6290726817042607,0.5264187866927593,0.45088062575514787,0.5808270676691729,0.2483299233088189
3,3,structural_tiv_lr,101,0.6052631578947368,0.5185909980430528,0.4211396839206314,0.5781119465329991,0.24279297164113156
3,3,tangent_lr,101,0.6766917293233083,0.6027397260273972,0.5669083575597382,0.6386800334168755,0.21982616220549223
3,3,tangent_mlp,101,0.6837928153717627,0.6183953033268101,0.5715340242888312,0.6307435254803676,0.22044750505435623
3,3,tiv_lr,101,0.39390142021720975,0.3639921722113503,0.32486240576365544,0.45405179615705926,0.2507969517510838
4,1,full_covariates_lr,99,0.72161480235492,0.7252747252747253,0.6641876067747631,0.6726240538267452,0.22185882634544432
4,1,full_covariates_tiv_lr,99,0.7018502943650126,0.7014652014652014,0.6533048143383308,0.6518082422203533,0.23392773745408568
4,1,full_functional_lr,99,0.7283431455004205,0.7234432234432234,0.6866149730814954,0.6726240538267452,0.21691139515118166
4,1,full_functional_mlp,99,0.7392767031118587,0.7362637362637363,0.6902371328381016,0.6883936080740118,0.21576675749306948
4,1,full_functional_tiv_mlp,99,0.7317073170731707,0.706959706959707,0.7100830462712977,0.7005887300252314,0.22737299205867884
4,1,full_fusion_lr,99,0.7283431455004205,0.7234432234432234,0.6866149730814954,0.6726240538267452,0.21691139515118166
4,1,full_fusion_mlp,99,0.7392767031118587,0.7362637362637363,0.6902371328381016,0.6883936080740118,0.21576675749306948
4,1,full_fusion_structural_mlp,99,0.7392767031118587,0.7362637362637363,0.6902371328381016,0.6883936080740118,0.21576675749306948
4,1,full_fusion_tiv_mlp,99,0.7317073170731707,0.706959706959707,0.7100830462712977,0.7005887300252314,0.22737299205867884
4,1,image_fusion_lr,99,0.6778805719091674,0.5787545787545788,0.6153577491403028,0.6324642556770395,0.22859644528851403
4,1,image_fusion_mlp,99,0.7211942809083263,0.6428571428571429,0.6670728544174441,0.6488645920941969,0.22308991355493177
4,1,structural_lr,99,0.6867115222876367,0.5732600732600732,0.6620701384655961,0.6274179983179142,0.2272162498889145
4,1,structural_mlp,99,0.6686291000841044,0.532967032967033,0.6536088008346695,0.625946173254836,0.23458823180410263
4,1,structural_tiv_lr,99,0.6808242220353238,0.5604395604395604,0.6559217497151979,0.6274179983179142,0.22742487327364821
4,1,tangent_lr,99,0.6383515559293524,0.575091575091575,0.5862290092455631,0.5857863751051303,0.27556319532296
4,1,tangent_mlp,99,0.6656854499579479,0.608058608058608,0.628728693696196,0.605130361648444,0.23748259772926206
4,1,tiv_lr,99,0.46425567703952897,0.4084249084249084,0.3842971684651497,0.4587888982338099,0.2500622748941833
4,2,full_covariates_lr,102,0.7109375,0.6181172291296625,0.555692804321864,0.678453947368421,0.22105689506571755
4,2,full_covariates_tiv_lr,102,0.7240953947368421,0.6731793960923623,0.6164748475193781,0.655016447368421,0.2208534454754402
4,2,full_functional_lr,102,0.6969572368421053,0.61101243339254,0.5233253024369096,0.6439144736842105,0.22324582593077819
4,2,full_functional_mlp,102,0.6751644736842105,0.605683836589698,0.5290970841919128,0.6307565789473684,0.22756701055855622
4,2,full_functional_tiv_mlp,102,0.6726973684210525,0.6092362344582594,0.5377762901133024,0.6229440789473684,0.22845031524085696
4,2,full_fusion_lr,102,0.6175986842105263,0.6127886323268206,0.4727397844536514,0.552220394736842,0.24133595111752126
4,2,full_fusion_mlp,102,0.614720394736842,0.6092362344582595,0.47301273505826946,0.575657894736842,0.2418885800516509
4,2,full_fusion_structural_mlp,102,0.6274671052631579,0.6287744227353463,0.4810206677829758,0.567845394736842,0.24173914009252612
4,2,full_fusion_tiv_mlp,102,0.6118421052631577,0.605683836589698,0.47316268962931274,0.5703125,0.2415818787838895
4,2,image_fusion_lr,102,0.546875,0.5808170515097691,0.4095933897800468,0.520970394736842,0.2536983454308593
4,2,image_fusion_mlp,102,0.5879934210526315,0.5808170515097691,0.4703870169497778,0.575657894736842,0.24422196678027472
4,2,structural_lr,102,0.546875,0.5808170515097691,0.4095933897800468,0.520970394736842,0.2536983454308593
4,2,structural_mlp,102,0.5929276315789473,0.6127886323268206,0.4396737085257403,0.53125,0.2582792653594371
4,2,structural_tiv_lr,102,0.546875,0.580817051509769,0.4094069135576251,0.520970394736842,0.25378957757742154
4,2,tangent_lr,102,0.5744243421052632,0.5239786856127886,0.45345862471520215,0.5546875,0.28927037023368657
4,2,tangent_mlp,102,0.6052631578947368,0.5612788632326821,0.4785796568698627,0.575657894736842,0.25964522554853986
4,2,tiv_lr,102,0.5115131578947368,0.5097690941385435,0.3869375302547596,0.49465460526315785,0.24997453200751465
4,3,full_covariates_lr,101,0.7215447154471544,0.5938697318007663,0.6453133015935473,0.6581300813008131,0.2116351922901995
4,3,full_covariates_tiv_lr,101,0.725609756097561,0.603448275862069,0.6426371629403104,0.6786585365853659,0.2100362702680044
4,3,full_functional_lr,101,0.701219512195122,0.6149425287356323,0.6168744768193044,0.6664634146341464,0.21925342466534709
4,3,full_functional_mlp,101,0.6902439024390244,0.6283524904214559,0.5764337598987375,0.6747967479674797,0.22759469252666564
4,3,full_functional_tiv_mlp,101,0.7162601626016261,0.6245210727969349,0.6127180554923803,0.6664634146341464,0.21711142832448196
4,3,full_fusion_lr,101,0.6873983739837398,0.6091954022988506,0.6026509738273464,0.6343495934959349,0.22091318345857006
4,3,full_fusion_mlp,101,0.6638211382113821,0.6053639846743295,0.5691587015675236,0.5900406504065041,0.22646901194795127
4,3,full_fusion_structural_mlp,101,0.7113821138211383,0.6264367816091954,0.5859076938487979,0.6548780487804877,0.22044723360314752
4,3,full_fusion_tiv_mlp,101,0.6833333333333333,0.6130268199233716,0.5863161770271681,0.5817073170731707,0.21993407665568193
4,3,image_fusion_lr,101,0.6459349593495934,0.6130268199233716,0.5980809112262989,0.6016260162601625,0.2372263675566528
4,3,image_fusion_mlp,101,0.6239837398373983,0.60727969348659,0.5385617444607271,0.6004065040650406,0.24145736570264117
4,3,structural_lr,101,0.634959349593496,0.5977011494252875,0.5000148837155484,0.5817073170731707,0.3695194075381918
