repeat,model,auc,within_site_auc,ap,balanced_accuracy,brier
3,structural_lr,0.5782673235122524,0.5272232558321223,0.45863925552864054,0.5575056633641747,0.2652246143857427
3,structural_mlp,0.5924237741656196,0.5333298984707424,0.48565670716753934,0.5695526891411776,0.26329018745638766
3,structural_tiv_lr,0.5778972937953663,0.5311079404986182,0.4556471472035224,0.5532289692133388,0.30265641660781023
3,tangent_lr,0.6282434315954465,0.5489705461115851,0.5401485515828955,0.6197610264505117,0.253955199504226
3,tangent_mlp,0.6316005255093026,0.5674127681288595,0.5538715122122652,0.6064806811510066,0.23685604083595682
3,tiv_lr,0.45560449371196765,0.44959291672697876,0.3673022184272386,0.4913496434527734,0.25091353687809687
4,full_covariates_lr,0.7180323392673582,0.645753895401718,0.6217312375633914,0.6697360274986597,0.2181836379004538
4,full_covariates_tiv_lr,0.7171851483998052,0.6593642911398776,0.637472274932673,0.6618277420580467,0.2216058177325101
4,full_functional_lr,0.7088399648458825,0.6497993951904651,0.6089382507792365,0.6610006473817007,0.21980354858243564
4,full_functional_mlp,0.7015616930783645,0.6567666877582967,0.5985893256429172,0.66464897832962,0.2236428201927638
4,full_functional_tiv_mlp,0.7068882826986164,0.6469056714049671,0.6201924639589934,0.6633320745355821,0.22431157854133923
4,full_fusion_lr,0.677780067898229,0.6484757526896315,0.5873352437874978,0.619731347353174,0.2263868432424243
4,full_fusion_mlp,0.6726060786866942,0.6502879851321084,0.5774695231546315,0.6180307177391193,0.22804144983089056
4,full_fusion_structural_mlp,0.6927086407320516,0.6638249802027594,0.5857218314899585,0.6370390171971139,0.22598437706291438
4,full_fusion_tiv_mlp,0.6756275852232205,0.6418901211575921,0.5898539709759262,0.6175361823661341,0.22962964916608342
4,image_fusion_lr,0.6235635104195869,0.5908661500625731,0.5410106833822161,0.5850202222246813,0.23984038609200872
4,image_fusion_mlp,0.644390480599452,0.610317962617834,0.5586738719426497,0.6083096636320265,0.2362564153459492
4,structural_lr,0.6228486239603775,0.5839260913983767,0.5238928039870637,0.5766985700426424,0.2834780009526552
4,structural_mlp,0.642063626001505,0.5728508667199179,0.5352325485651878,0.589051840949444,0.2423187215855378
4,structural_tiv_lr,0.6225122068031025,0.5783754479166986,0.5220324180653637,0.5807636106930488,0.28248202365654956
4,tangent_lr,0.6161827519193976,0.5643133308350433,0.5321997913764842,0.5897108038968321,0.2708890919348847
4,tangent_mlp,0.6316441158966943,0.5922057215926267,0.5486233650089286,0.5937315868167755,0.24619506299348104
4,tiv_lr,0.4997820235688745,0.47017705577146995,0.39915902418518995,0.49762479926863695,0.24997836709193844
5,full_covariates_lr,0.7078744416922437,0.6604045918919336,0.6187003885128386,0.651210990710784,0.22902174884234197
5,full_covariates_tiv_lr,0.6985110933023293,0.667175700530131,0.6176103990570513,0.6557335684040934,0.2238568419675023
5,full_functional_lr,0.6881521106842575,0.6150635744939542,0.5927619564311454,0.6484577923297707,0.22351202103540344
5,full_functional_mlp,0.7153432970647566,0.6376157632803202,0.6129625664919715,0.6736380309790375,0.22863512280225495
5,full_functional_tiv_mlp,0.7018233133852899,0.6394628882603567,0.5987916853664981,0.6713674959470307,0.2242466337320523
5,full_fusion_lr,0.6513258107000629,0.5713598707902504,0.5568626837634939,0.5876864947163679,0.24193508458987747
5,full_fusion_mlp,0.7193788095748453,0.6382185360349917,0.6137344225136858,0.6736380309790375,0.22752383744275193
5,full_fusion_structural_mlp,0.7230107708339252,0.6382185360349917,0.6301160686645162,0.6645581278313377,0.22594820658026019
5,full_fusion_tiv_mlp,0.7084146504851015,0.6454906158070716,0.6107683270483663,0.6673992419787768,0.22372639253873114
5,image_fusion_lr,0.6249294950258811,0.5079461677562943,0.5157508777248264,0.6025911463075581,0.23892585313777073
5,image_fusion_mlp,0.6053719733578745,0.5035550197575515,0.5111431375343204,0.5606751063986546,0.25181370989154067
5,structural_lr,0.6077565426252356,0.5588172645451127,0.5452727298690803,0.5674929200962142,0.3154261121114328
5,structural_mlp,0.6407105098060474,0.6029311241969469,0.5843315733125223,0.6171799610965425,0.24853504330683285
5,structural_tiv_lr,0.6114429224348504,0.5632092110889579,0.5474905978149884,0.5661494713843445,0.31118109925249876
5,tangent_lr,0.6211157539240044,0.5316498714599981,0.5415627776409715,0.5963096960029142,0.23923289189553298
5,tangent_mlp,0.6213215281120679,0.5282754001741344,0.5540024937446356,0.5933800746522402,0.2529495713428483
