cohort,contrast,site,n,pos,pairs,delta,ci95_lo,ci95_hi
include_holds,S1,NeuroIMAGE,29,14,210,-0.009523809523809601,-0.1526619433198381,0.1428571428571429
include_holds,S1,OHSU,34,13,273,-0.24175824175824173,-0.4615530303030303,-0.034042207792208026
include_holds,S1,Peking_1,50,16,544,0.0,0.0,0.0
include_holds,S1,Peking_2,14,9,45,0.0,0.0,0.0
include_holds,S1,Peking_3,6,3,9,-0.11111111111111116,-0.5,0.0
include_holds,S2,KKI,82,22,1320,0.0,0.0,0.0
include_holds,S2,NYU,160,88,6336,0.0,0.0,0.0
include_holds,S2,NeuroIMAGE,29,14,210,-0.10952380952380947,-0.2798731203007519,0.0555952380952379
include_holds,S2,OHSU,34,13,273,0.0,0.0,0.0
include_holds,S2,Peking_1,50,16,544,0.0,0.0,0.0
include_holds,S2,Peking_2,14,9,45,0.0,0.0,0.0
include_holds,S2,Peking_3,6,3,9,0.0,0.0,0.0
include_holds,S3,KKI,82,22,1320,0.0,0.0,0.0
include_holds,S3,NYU,160,88,6336,0.0,0.0,0.0
include_holds,S3,NeuroIMAGE,29,14,210,-0.11904761904761907,-0.2932692307692307,0.05055194805194779
include_holds,S3,OHSU,34,13,273,0.0,0.0,0.0
include_holds,S3,Peking_1,50,16,544,0.0,0.0,0.0
include_holds,S3,Peking_2,14,9,45,0.0,0.0,0.0
include_holds,S3,Peking_3,6,3,9,-0.2222222222222222,-0.78125,0.0
include_holds,S4,KKI,82,22,1320,0.0674242424242425,-0.04099856417070068,0.18574866433308745
include_holds,S4,NYU,160,88,6336,-0.0168876262626263,-0.044193246231803186,0.010574937582979496
include_holds,S4,NeuroIMAGE,29,14,210,-0.01904761904761898,-0.22550197963800914,0.1827678571428567
include_holds,S4,OHSU,34,13,273,0.0,0.0,0.0
include_holds,S4,Peking_1,50,16,544,-0.009191176470588203,-0.16147592905405408,0.1422209224598929
include_holds,S4,Peking_2,14,9,45,-0.11111111111111116,-0.5777777777777777,0.2916666666666667
include_holds,S4,Peking_3,6,3,9,0.0,0.0,0.0
include_holds,S5,KKI,82,22,1320,0.0,0.0,0.0
include_holds,S5,NYU,160,88,6336,-0.035037878787878785,-0.07369354414480182,0.0032123735701987672
include_holds,S5,NeuroIMAGE,29,14,210,-0.10476190476190472,-0.2857142857142857,0.0589154411764701
include_holds,S5,OHSU,34,13,273,0.0,0.0,0.0
include_holds,S5,Peking_1,50,16,544,0.0,0.0,0.0
include_holds,S5,Peking_2,14,9,45,0.0,0.0,0.0
include_holds,S5,Peking_3,6,3,9,0.0,0.0,0.0
include_holds,E1,KKI,82,22,1320,0.0492424242424242,-0.016131112273278327,0.11515151515151517
include_holds,E1,NYU,160,88,6336,0.010258838383838342,-0.02104784175785435,0.04379890636528734
include_holds,E1,NeuroIMAGE,29,14,210,0.2142857142857143,-0.005055821371610877,0.4567307692307692
include_holds,E1,OHSU,34,13,273,0.19413919413919412,-0.051322115384615424,0.43749999999999994
