cohort,contrast,candidate,reference,metric,mean_delta,se_nb,ci90_lo,ci90_hi,ci90_lo_df2,ci90_hi_df2,positive_of_15,negative_of_15
warning_free,P,full_fusion_structural_mlp,full_functional_mlp,within_site_auc,-0.013062283672982603,0.0273077593232576,-0.06115971695433749,0.035035149608372285,-0.09280054712866477,0.06667597978269955,3,4
warning_free,S1,full_functional_mlp,full_covariates_lr,within_site_auc,0.0073165380776819815,0.02017141240982736,-0.028211575052642365,0.04284465120800633,-0.05158369529438207,0.06621677144974604,7,4
warning_free,S2,full_fusion_mlp,full_functional_mlp,within_site_auc,-0.008321687561452929,0.014855368372209398,-0.034486598446095085,0.01784322332318923,-0.05169914899914715,0.03505577387624129,4,4
warning_free,S3,full_fusion_lr,full_functional_lr,within_site_auc,-0.011274415011420754,0.026384467381051564,-0.05774564483668887,0.03519681481384736,-0.08831667930940451,0.06576784928656301,3,3
warning_free,S4,image_fusion_mlp,tangent_mlp,within_site_auc,-0.0026456213206390764,0.026542974434546104,-0.04939603122581894,0.04410478858454078,-0.08015072392921124,0.0748594812879331,6,5
warning_free,S5,full_fusion_tiv_mlp,full_functional_tiv_mlp,within_site_auc,-0.008175183329567414,0.020478453496444334,-0.04424409103784957,0.027893724378714745,-0.06797197224712917,0.05162160558799435,3,6
warning_free,E1,structural_mlp,structural_lr,within_site_auc,0.005380647061459672,0.02724665097536822,-0.042609155467377195,0.05337044959029654,-0.07417918089954627,0.08494047502246561,7,8
include_holds,P,full_fusion_structural_mlp,full_functional_mlp,auc,-0.002487448140177384,0.011211894662652983,-0.022235071850748484,0.017260175570393717,-0.03522601888356898,0.03025112260321421,4,5
include_holds,S1,full_functional_mlp,full_covariates_lr,auc,-0.000635735662778821,0.015565345248677382,-0.028051136016109833,0.026779664690552193,-0.04608631934214413,0.04481484801658649,7,5
include_holds,S2,full_fusion_mlp,full_functional_mlp,auc,-0.00951733142633447,0.020390844698971188,-0.04543193287164413,0.02639727001897519,-0.06905830391856252,0.050023641065893576,3,5
include_holds,S3,full_fusion_lr,full_functional_lr,auc,-0.01322916447017406,0.020619767665409173,-0.0495469702565826,0.023088641316234476,-0.07343858872341281,0.0469802597830647,2,7
include_holds,S4,image_fusion_mlp,tangent_mlp,auc,0.005637913641527059,0.026995814365023112,-0.04191008782308555,0.053185915106139674,-0.07318947503424636,0.08446530231730048,9,3
include_holds,S5,full_fusion_tiv_mlp,full_functional_tiv_mlp,auc,-0.009475647208662955,0.019042002020483534,-0.04301451837278655,0.024063223955460646,-0.06507801852954136,0.04612672411221544,2,6
include_holds,E1,structural_mlp,structural_lr,auc,0.022514576249182485,0.02703118707446133,-0.02509572752709348,0.07012488002545846,-0.05641610022808857,0.10144525272645355,11,4
include_holds,P,full_fusion_structural_mlp,full_functional_mlp,within_site_auc,-0.0047199520621245515,0.01494747386269927,-0.03104708928072704,0.021607185156477936,-0.0483663602039206,0.038926456079671504,2,7
include_holds,S1,full_functional_mlp,full_covariates_lr,within_site_auc,-0.0028822555772460698,0.031139090608029565,-0.05772785148398126,0.05196334032948912,-0.09380795113802048,0.08804343998352834,6,6
include_holds,S2,full_fusion_mlp,full_functional_mlp,within_site_auc,-0.0031817448116131667,0.022504995782522522,-0.04282002198894126,0.03645653236571493,-0.06889600798250031,0.06253251835927398,5,3
include_holds,S3,full_fusion_lr,full_functional_lr,within_site_auc,-0.0076601327527695846,0.022642090243552654,-0.04753987579386865,0.03221961028832948,-0.07377470977301108,0.058454444267471914,4,5
include_holds,S4,image_fusion_mlp,tangent_mlp,within_site_auc,0.013970600736054184,0.027637764563265776,-0.03470807411938594,0.0626492755914943,-0.06673127326189303,0.09467247473400141,8,4
include_holds,S5,full_fusion_tiv_mlp,full_functional_tiv_mlp,within_site_auc,-0.005149516594481048,0.018011903330896785,-0.036874064495787076,0.02657503130682498,-0.05774401459542487,0.04744498140646278,3,5
include_holds,E1,structural_mlp,structural_lr,within_site_auc,0.014215225098100862,0.02823038498115977,-0.0355072381060431,0.06393768830224482,-0.06821709197472,0.09664754217092172,10,5
