repeat,fold,model,auc,within_site_auc
2,2,tangent_adjusted_lr,0.6532650448143404,0.5927051671732523
2,2,tangent_lr,0.6496798975672216,0.5886524822695035
2,2,tangent_mlp_ens,0.6527528809218951,0.585612968591692
2,3,motion_only_lr,0.5702944942381563,0.5377551020408163
2,3,pearson_adjusted_lr,0.5626120358514725,0.5071428571428571
2,3,pearson_lr,0.5989756722151088,0.573469387755102
2,3,pearson_mlp_ens,0.6432778489116517,0.6551020408163265
2,3,site_motion_lr,0.6186939820742637,0.5336734693877551
2,3,site_only_lr,0.6320102432778489,0.5
2,3,tangent_adjusted_lr,0.6209987195902689,0.5959183673469388
2,3,tangent_lr,0.6222791293213829,0.6020408163265306
2,3,tangent_mlp_ens,0.6499359795134443,0.6377551020408163
3,1,motion_only_lr,0.5255530129672006,0.535323383084577
3,1,pearson_adjusted_lr,0.5977625222476481,0.5810945273631841
3,1,pearson_lr,0.5914060513602847,0.5761194029850746
3,1,pearson_mlp_ens,0.6183574879227053,0.5840796019900497
3,1,site_motion_lr,0.6058988049834731,0.5552238805970149
3,1,site_only_lr,0.6238240528858378,0.5
3,1,tangent_adjusted_lr,0.674040172896008,0.6228855721393035
3,1,tangent_lr,0.673531655225019,0.6238805970149254
3,1,tangent_mlp_ens,0.6842105263157895,0.6487562189054726
3,2,motion_only_lr,0.645326504481434,0.6119554204660588
3,2,pearson_adjusted_lr,0.5920614596670934,0.5126646403242149
3,2,pearson_lr,0.5994878361075544,0.5319148936170213
3,2,pearson_mlp_ens,0.6133162612035852,0.5673758865248227
3,2,site_motion_lr,0.6914212548015365,0.6220871327254306
3,2,site_only_lr,0.6267605633802817,0.5
3,2,tangent_adjusted_lr,0.5590268886043535,0.502532928064843
3,2,tangent_lr,0.5549295774647888,0.49746707193515705
3,2,tangent_mlp_ens,0.5992317541613316,0.5339412360688957
3,3,motion_only_lr,0.6755441741357234,0.5775510204081634
3,3,pearson_adjusted_lr,0.6148527528809219,0.6438775510204081
3,3,pearson_lr,0.6064020486555698,0.6551020408163265
3,3,pearson_mlp_ens,0.6176696542893726,0.6061224489795919
3,3,site_motion_lr,0.6875800256081945,0.5826530612244898
3,3,site_only_lr,0.6373879641485276,0.5
3,3,tangent_adjusted_lr,0.6852752880921895,0.6918367346938775
3,3,tangent_lr,0.6862996158770807,0.6979591836734695
3,3,tangent_mlp_ens,0.677336747759283,0.676530612244898
4,1,motion_only_lr,0.5908975336892958,0.5940298507462687
4,1,pearson_adjusted_lr,0.5293668954996186,0.5154228855721393
4,1,pearson_lr,0.5194508009153318,0.5134328358208955
4,1,pearson_mlp_ens,0.5784388507500635,0.5601990049751244
4,1,site_motion_lr,0.6211543351131452,0.6079601990049751
4,1,site_only_lr,0.617721840833969,0.5
4,1,tangent_adjusted_lr,0.6320874650394102,0.6199004975124378
4,1,tangent_lr,0.6323417238749047,0.6179104477611941
4,1,tangent_mlp_ens,0.6333587592168828,0.6149253731343284
4,2,motion_only_lr,0.6568501920614596,0.6139817629179332
4,2,pearson_adjusted_lr,0.6186939820742637,0.6190476190476191
4,2,pearson_lr,0.6081946222791292,0.6149949341438704
4,2,pearson_mlp_ens,0.6276568501920613,0.6322188449848024
4,2,site_motion_lr,0.6768245838668374,0.6342451874366768
4,2,site_only_lr,0.6267605633802817,0.5
4,2,tangent_adjusted_lr,0.6225352112676056,0.6636271529888551
4,2,tangent_lr,0.6192061459667093,0.6616008105369807
