framework,cohort,unit,alpha,probability
loso,warning_free,site_Peking_1,0.5,0.002
loso,warning_free,site_Peking_1,0.75,0.0
loso,warning_free,site_Peking_1,1.0,0.0
loso,warning_free,site_Peking_2,0.0,0.302
loso,warning_free,site_Peking_2,0.25,0.594
loso,warning_free,site_Peking_2,0.5,0.057
loso,warning_free,site_Peking_2,0.75,0.032
loso,warning_free,site_Peking_2,1.0,0.015
loso,warning_free,site_Peking_3,0.0,0.298
loso,warning_free,site_Peking_3,0.25,0.626
loso,warning_free,site_Peking_3,0.5,0.073
loso,warning_free,site_Peking_3,0.75,0.003
loso,warning_free,site_Peking_3,1.0,0.0
loso,include_holds,site_KKI,0.0,0.471
loso,include_holds,site_KKI,0.25,0.164
loso,include_holds,site_KKI,0.5,0.119
loso,include_holds,site_KKI,0.75,0.241
loso,include_holds,site_KKI,1.0,0.005
loso,include_holds,site_NYU,0.0,0.422
loso,include_holds,site_NYU,0.25,0.337
loso,include_holds,site_NYU,0.5,0.183
loso,include_holds,site_NYU,0.75,0.04
loso,include_holds,site_NYU,1.0,0.018
loso,include_holds,site_NeuroIMAGE,0.0,0.517
loso,include_holds,site_NeuroIMAGE,0.25,0.429
loso,include_holds,site_NeuroIMAGE,0.5,0.0
loso,include_holds,site_NeuroIMAGE,0.75,0.0
loso,include_holds,site_NeuroIMAGE,1.0,0.054
loso,include_holds,site_OHSU,0.0,0.861
loso,include_holds,site_OHSU,0.25,0.054
loso,include_holds,site_OHSU,0.5,0.068
loso,include_holds,site_OHSU,0.75,0.012
loso,include_holds,site_OHSU,1.0,0.005
loso,include_holds,site_Peking_1,0.0,0.263
loso,include_holds,site_Peking_1,0.25,0.123
loso,include_holds,site_Peking_1,0.5,0.275
loso,include_holds,site_Peking_1,0.75,0.31
loso,include_holds,site_Peking_1,1.0,0.029
loso,include_holds,site_Peking_2,0.0,0.624
loso,include_holds,site_Peking_2,0.25,0.232
loso,include_holds,site_Peking_2,0.5,0.113
loso,include_holds,site_Peking_2,0.75,0.022
loso,include_holds,site_Peking_2,1.0,0.009
loso,include_holds,site_Peking_3,0.0,0.038
loso,include_holds,site_Peking_3,0.25,0.115
loso,include_holds,site_Peking_3,0.5,0.094
loso,include_holds,site_Peking_3,0.75,0.534
loso,include_holds,site_Peking_3,1.0,0.219
