cohort,metric,excluded_site,full_delta,delta_without_site,change,scope
include_holds,fixed_primary_site_weights,KKI,-0.041324454526589054,-0.05073257456368762,-0.009408120037098566,aggregation_only_no_refit
include_holds,fixed_primary_site_weights,NYU,-0.041324454526589054,-0.021983537442280647,0.019340917084308407,aggregation_only_no_refit
include_holds,fixed_primary_site_weights,NeuroIMAGE,-0.041324454526589054,-0.042488439595588734,-0.0011639850689996803,aggregation_only_no_refit
include_holds,fixed_primary_site_weights,OHSU,-0.041324454526589054,-0.04280999378842393,-0.0014855392618348742,aggregation_only_no_refit
include_holds,fixed_primary_site_weights,Peking_1,-0.041324454526589054,-0.037271328612375566,0.004053125914213487,aggregation_only_no_refit
include_holds,fixed_primary_site_weights,Peking_2,-0.041324454526589054,-0.0415873699024828,-0.00026291537589374914,aggregation_only_no_refit
include_holds,fixed_primary_site_weights,Peking_3,-0.041324454526589054,-0.040954771039564054,0.0003696834870249993,aggregation_only_no_refit
include_holds,macro,KKI,-0.06800940072998896,-0.07934430085165377,-0.011334900121664812,aggregation_only_no_refit
include_holds,macro,NYU,-0.06800940072998896,-0.07087418300653595,-0.00286478227654699,aggregation_only_no_refit
include_holds,macro,NeuroIMAGE,-0.06800940072998896,-0.07934430085165377,-0.011334900121664812,aggregation_only_no_refit
include_holds,macro,OHSU,-0.06800940072998896,-0.07934430085165377,-0.011334900121664812,aggregation_only_no_refit
include_holds,macro,Peking_1,-0.06800940072998896,-0.06402567340067339,0.003983727329315567,aggregation_only_no_refit
include_holds,macro,Peking_2,-0.06800940072998896,-0.07934430085165377,-0.011334900121664812,aggregation_only_no_refit
include_holds,macro,Peking_3,-0.06800940072998896,-0.0237887452960982,0.044220655433890754,aggregation_only_no_refit
